mm_idx	03	y_pred	errerr
19	-0.211	-0.182	0.001
18	-0.162	-0.253	0.008
4	-0.167	-0.042	0.016
20	-0.195	-0.093	0.019
10	-0.138	-0.241	0.020
16	-0.447	-0.289	0.028
6	-0.370	-0.060	0.107
17	-0.333	-0.650	0.108
13	-0.593	-0.235	0.129
9	-0.308	0.058	0.134
