gc_cont	03	y_pred	errerr
13	-0.418	-0.508	0.128
10	-0.289	-0.375	0.148
11	-0.259	-0.412	0.159
7	-0.371	-0.262	0.162
8	-0.374	-0.303	0.168
9	-0.319	-0.337	0.169
14	-0.304	-0.455	0.170
6	-0.374	-0.229	0.176
12	-0.335	-0.471	0.177
5	-0.387	-0.224	0.195
15	-0.349	-0.591	0.285
4	-0.473	-0.143	0.294
16	-0.029	-0.774	0.574
3	-0.824	-0.099	0.653
2	-1.021	-0.083	0.889
