mm_idx	03	y_pred	errerr
20	-0.077	-0.052	0.082
18	-0.111	-0.201	0.093
19	-0.079	-0.278	0.106
12	-0.127	-0.170	0.125
13	-0.178	-0.296	0.125
15	-0.115	-0.220	0.129
14	-0.100	-0.230	0.134
17	-0.097	-0.222	0.134
16	-0.079	-0.256	0.173
11	-0.126	-0.300	0.192
9	-0.124	-0.372	0.193
10	-0.241	-0.421	0.207
8	-0.245	-0.470	0.250
