mm_trans	03	y_pred	errerr
AT	-0.162	-0.253	0.008
AC	-0.391	-0.262	0.022
GA	-0.240	-0.120	0.046
GT	-0.275	-0.455	0.078
TA	-0.448	-0.127	0.119
TC	-0.308	0.058	0.134
