mm_leading	03	y_pred	errerr
GG	-0.308	-0.221	0.008
CA	-0.162	-0.330	0.028
NC	-0.211	-0.041	0.029
GA	-0.333	-0.159	0.037
AA	-0.319	-0.481	0.043
NN	-0.195	-0.140	0.066
AG	-0.447	-0.101	0.122
TG	-0.451	-0.394	0.269
