gc_cont	03	y_pred	errerr
16	0.156	0.000	0.059
15	0.474	0.398	0.082
2	0.096	0.166	0.101
4	0.422	0.232	0.129
14	0.386	0.329	0.133
9	0.404	0.283	0.142
10	0.369	0.282	0.148
8	0.403	0.271	0.149
13	0.341	0.319	0.153
12	0.389	0.303	0.156
6	0.395	0.286	0.159
11	0.370	0.271	0.163
7	0.389	0.257	0.164
3	0.371	0.284	0.176
5	0.396	0.259	0.201
