mm_trans	03	y_pred	errerr
TC	-0.308	-0.221	0.008
AT	-0.162	-0.330	0.028
GT	-0.275	-0.222	0.036
TA	-0.448	-0.332	0.057
AC	-0.391	-0.053	0.117
GA	-0.240	-0.590	0.157
