mm_idx	03	y_pred	errerr
9	-0.308	-0.221	0.008
18	-0.162	-0.330	0.028
19	-0.211	-0.041	0.029
6	-0.370	-0.499	0.030
17	-0.333	-0.159	0.037
20	-0.195	-0.140	0.066
10	-0.138	-0.418	0.088
16	-0.447	-0.101	0.122
13	-0.593	-0.172	0.178
4	-0.167	-0.839	0.451
