mm_trailing	03	y_pred	errerr
CN	0.304	0.230	0.103
TN	0.314	0.185	0.121
CG	0.381	0.262	0.127
CT	0.385	0.238	0.128
AN	0.373	0.218	0.132
GC	0.392	0.231	0.135
CA	0.354	0.237	0.140
GT	0.349	0.257	0.143
GG	0.338	0.242	0.146
AA	0.367	0.237	0.147
AG	0.363	0.235	0.150
TG	0.348	0.245	0.152
GN	0.412	0.198	0.159
TT	0.396	0.254	0.164
NG	0.290	0.250	0.164
TC	0.362	0.245	0.167
GA	0.378	0.236	0.168
CC	0.351	0.263	0.170
TA	0.381	0.285	0.172
AT	0.379	0.213	0.178
AC	0.331	0.253	0.187
