gc_cont	03	y_pred	errerr
16	-0.029	-0.182	0.043
11	-0.259	-0.030	0.236
10	-0.289	-0.026	0.252
5	-0.387	-0.104	0.262
9	-0.319	-0.054	0.272
7	-0.371	-0.047	0.279
13	-0.418	-0.078	0.282
6	-0.374	-0.044	0.295
12	-0.335	-0.024	0.305
8	-0.374	-0.050	0.305
14	-0.304	0.053	0.353
15	-0.349	-0.145	0.354
4	-0.473	-0.098	0.364
3	-0.824	-0.077	0.688
2	-1.021	-0.160	0.759
