mm_trailing	03	y_pred	errerr
AA	-0.325	-0.180	0.027
TC	-0.211	-0.041	0.029
TG	-0.370	-0.499	0.030
CC	-0.128	-0.302	0.030
TA	-0.223	-0.420	0.039
TT	-0.183	-0.562	0.144
CG	-0.451	-0.069	0.150
AT	-0.391	-0.249	0.188
