mm_brackets	03	y_pred	errerr
CT	-0.211	-0.041	0.029
AC	-0.128	-0.302	0.030
AA	-0.333	-0.159	0.037
NT	-0.223	-0.420	0.039
AT	-0.347	-0.507	0.044
NC	-0.168	0.139	0.094
GA	-0.367	-0.241	0.137
GC	-0.593	-0.172	0.178
