mm_idx	03	y_pred	errerr
20	-0.077	-0.289	0.090
19	-0.079	-0.275	0.093
18	-0.111	-0.284	0.104
17	-0.097	-0.262	0.108
16	-0.079	-0.310	0.121
13	-0.178	-0.301	0.127
14	-0.100	-0.294	0.147
12	-0.127	-0.303	0.147
15	-0.115	-0.304	0.155
9	-0.124	-0.293	0.168
8	-0.245	-0.279	0.215
11	-0.126	-0.306	0.228
10	-0.241	-0.277	0.256
