mm_idx	03	y_pred	errerr
20	-0.097	-0.223	0.095
18	-0.219	-0.344	0.131
13	-0.179	-0.338	0.131
17	-0.160	-0.349	0.132
19	-0.212	-0.320	0.138
14	-0.137	-0.340	0.139
12	-0.143	-0.340	0.145
11	-0.187	-0.339	0.151
3	-0.453	-0.346	0.152
15	-0.147	-0.355	0.156
10	-0.245	-0.324	0.161
9	-0.273	-0.321	0.164
16	-0.229	-0.333	0.166
8	-0.323	-0.341	0.167
5	-0.469	-0.344	0.182
4	-0.403	-0.314	0.193
7	-0.482	-0.327	0.195
2	-0.653	-0.368	0.211
6	-0.515	-0.326	0.212
1	-0.811	-0.342	0.309
