mm_trailing	03	y_pred	errerr
GN	117	117	117
CN	182	182	182
AN	212	212	212
TN	215	215	215
GG	398	398	398
CG	562	562	562
AG	566	566	566
GT	631	631	631
TA	633	633	633
CC	636	636	636
AC	666	666	666
GC	674	674	674
GA	688	688	688
TG	803	803	803
CA	806	806	806
NG	836	836	836
CT	849	849	849
AT	873	873	873
TC	982	982	982
AA	1080	1080	1080
TT	1334	1334	1334
