mm_idx	03	y_pred	errerr
20	-0.097	-0.076	0.058
1	-0.811	-0.815	0.082
17	-0.160	-0.199	0.082
14	-0.137	-0.187	0.083
12	-0.143	-0.155	0.090
2	-0.653	-0.684	0.092
11	-0.187	-0.213	0.095
15	-0.147	-0.193	0.099
8	-0.323	-0.339	0.100
13	-0.179	-0.213	0.105
10	-0.245	-0.236	0.106
9	-0.273	-0.298	0.106
19	-0.212	-0.249	0.109
4	-0.403	-0.405	0.113
18	-0.219	-0.243	0.121
3	-0.453	-0.446	0.125
6	-0.515	-0.550	0.131
7	-0.482	-0.544	0.133
5	-0.469	-0.526	0.134
16	-0.229	-0.254	0.137
