mm_idx	03	y_pred	errerr
20	-0.097	-0.051	0.080
12	-0.143	-0.079	0.104
13	-0.179	-0.128	0.118
15	-0.147	-0.031	0.122
14	-0.137	-0.041	0.130
17	-0.160	-0.018	0.139
11	-0.187	-0.044	0.145
19	-0.212	-0.077	0.151
18	-0.219	-0.140	0.170
10	-0.245	-0.057	0.207
8	-0.323	-0.081	0.217
16	-0.229	-0.025	0.221
9	-0.273	-0.024	0.243
4	-0.403	-0.051	0.292
3	-0.453	-0.056	0.307
5	-0.469	-0.066	0.324
7	-0.482	-0.069	0.342
6	-0.515	-0.044	0.392
2	-0.653	0.038	0.607
1	-0.811	0.091	0.905
