gc_cont	03	y_pred	errerr
16	5	5	5
2	52	52	52
3	54	54	54
15	59	59	59
14	201	201	201
13	214	214	214
4	262	262	262
12	651	651	651
5	691	691	691
6	1033	1033	1033
7	1862	1862	1862
8	1975	1975	1975
9	2091	2091	2091
11	2189	2189	2189
10	2404	2404	2404
