gc_cont	03	y_pred	errerr
9	-0.103	-0.315	0.103
8	-0.064	-0.251	0.114
12	-0.166	-0.427	0.118
11	-0.075	-0.374	0.118
14	-0.186	-0.453	0.123
4	-0.056	-0.108	0.164
7	-0.180	-0.240	0.169
6	-0.185	-0.202	0.215
15	-0.013	-0.475	0.330
5	-0.777	-0.131	0.664
