mm_brackets	03	y_pred	errerr
NC	-0.168	-0.157	0.000
CT	-0.211	-0.182	0.001
AC	-0.128	-0.178	0.004
NT	-0.223	-0.029	0.038
GA	-0.367	-0.154	0.056
AT	-0.347	-0.100	0.099
AA	-0.333	-0.650	0.108
GC	-0.593	-0.235	0.129
