mm_leading	03	y_pred	errerr
NC	-0.211	-0.182	0.001
CA	-0.162	-0.253	0.008
NN	-0.195	-0.093	0.019
AG	-0.447	-0.289	0.028
AA	-0.319	-0.100	0.088
TG	-0.451	-0.171	0.091
GA	-0.333	-0.650	0.108
GG	-0.308	0.058	0.134
