mm_brackets	03	y_pred	errerr
NG	70	70	70
NA	89	89	89
NT	131	131	131
CN	144	144	144
NC	145	145	145
GN	197	197	197
AN	217	217	217
TN	278	278	278
GG	402	402	402
GC	536	536	536
TG	557	557	557
CC	612	612	612
AG	660	660	660
CA	716	716	716
GA	768	768	768
AC	779	779	779
AA	788	788	788
GT	812	812	812
CG	819	819	819
AT	881	881	881
TC	963	963	963
TA	1036	1036	1036
CT	1047	1047	1047
TT	1096	1096	1096
