gc_cont	03	y_pred	errerr
16	-0.029	0.128	0.044
13	-0.418	-0.321	0.069
15	-0.349	-0.228	0.072
14	-0.304	-0.190	0.077
3	-0.824	-0.641	0.082
10	-0.289	-0.305	0.091
12	-0.335	-0.336	0.094
8	-0.374	-0.383	0.103
11	-0.259	-0.288	0.108
9	-0.319	-0.353	0.109
6	-0.374	-0.429	0.109
4	-0.473	-0.498	0.113
7	-0.371	-0.400	0.114
2	-1.021	-0.734	0.126
5	-0.387	-0.499	0.146
