mm_idx	03	y_pred	errerr
17	0.270	0.161	0.118
14	0.288	0.164	0.126
2	0.349	0.218	0.128
8	0.378	0.232	0.141
11	0.324	0.194	0.146
3	0.361	0.224	0.148
9	0.364	0.214	0.148
13	0.308	0.191	0.148
19	0.345	0.179	0.152
5	0.393	0.222	0.153
20	0.254	0.183	0.154
10	0.354	0.208	0.155
4	0.389	0.267	0.158
6	0.402	0.221	0.162
15	0.295	0.195	0.163
1	0.290	0.250	0.164
18	0.322	0.211	0.169
12	0.291	0.182	0.172
7	0.392	0.243	0.182
16	0.369	0.232	0.193
