mm_trailing	03	y_pred	errerr
TC	-0.211	-0.182	0.001
CC	-0.128	-0.178	0.004
AT	-0.391	-0.239	0.025
TA	-0.223	-0.029	0.038
TT	-0.183	-0.381	0.039
CG	-0.451	-0.209	0.086
TG	-0.370	-0.060	0.107
AA	-0.325	-0.414	0.116
