	gene	rho
6914	uppS	0.6010926573426574
7124	rpsB	0.6042395104895104
7203	murAA	0.604559534707389
7241	fusA	0.6062500000000001
6841	rplF	0.6070367132867133
6970	racE	0.6070804195804196
7215	rplJ	0.6096153846153847
7165	ftsA	0.6101398601398602
6958	ysxB	0.616083916083916
7098	fabF	0.616083916083916
6875	trmU	0.6175262237762237
7025	rpsE	0.6175699300699301
7068	rplR	0.6206730769230769
6874	dfrA	0.6210260108925812
7183	murG	0.6211538461538462
7013	rplU	0.6223000085375223
7224	mnaA	0.6236451048951049
6887	hisS	0.6239073426573427
7171	murAA	0.6243899507152302
7096	parE	0.6253496503496504
7120	murAA	0.6286711605499921
6890	ydiB	0.6289335664335665
7021	accD	0.6304195804195805
6905	yqeG	0.6309440559440561
7218	dnaB	0.6326486013986015
7008	panC	0.633479020979021
7031	pbpB	0.6335042735042735
6862	rpsNA	0.6336101398601398
6951	rpmD	0.6345716783216784
7121	rplO	0.6347027972027972
7222	eno	0.6354458041958042
6858	polC	0.6357517482517483
6923	fbaA	0.6359702797202796
7071	rpsP	0.6364073426573427
7265	yqeG	0.6369230769230768
7263	metS	0.6387237762237762
6864	ydiC	0.6391171328671328
7086	rpsQ	0.6391608391608392
6964	dnaI	0.639291958041958
6917	ftsW	0.6404283216783218
7178	racE	0.640472027972028
7156	pgm	0.641025641025641
6838	murAA	0.6454594209733049
6912	dapF	0.6471153846153846
6860	pheT	0.6499562937062937
6928	murC	0.6508153333902501
6833	dxr	0.6513548951048952
7251	ssbA	0.651486013986014
6842	dapL	0.6545891608391607
7159	secY	0.6564685314685315
6975	rplNA	0.6586975524475525
6884	tagF	0.6594842657342658
6894	ligA	0.6614947552447553
7180	rpsH	0.6621940559440561
7271	rpsR	0.6644230769230769
7125	metS	0.6645104895104895
6891	argS	0.6646416083916085
7036	rpsC	0.6658216783216784
6831	dnaN	0.6669143356643357
7147	yxxG	0.6670891608391609
7023	rpsE	0.6672639860139861
6922	gltX	0.6680506993006993
7069	rpsI	0.6706293706293707
7136	ribC	0.6713723776223776
7009	ydiO	0.6809003496503496
6857	infB	0.6836101398601399
7043	dnaC	0.6840472027972028
7039	dapL	0.6850524475524475
7212	scpA	0.6859702797202798
7093	gatA	0.6861451048951049
6909	ftsY	0.6862325174825175
7150	nrdF	0.6868131868131868
6937	tsf	0.6879370629370629
6869	dnaX	0.6884615384615385
7034	glnA	0.6896853146853147
6936	pyrH	0.6903440621531631
7243	rplE	0.6905157342657343
7170	dapB	0.6917395104895104
7275	uppS	0.6937500000000001
7104	tkt	0.6938811188811189
6995	argS	0.6949737762237762
6870	rpmD	0.6951048951048951
6977	aspS	0.695236013986014
7118	dapF	0.6965909090909089
6865	ispH	0.6972902097902098
7245	hprT	0.69734483053018
7102	gyrB	0.6977272727272728
7213	dnaC	0.6982517482517482
7012	alaS	0.6996066433566434
7143	prs	0.7022290209790211
7154	rodA	0.7028409090909089
6996	trpS	0.7038898601398601
6926	murAA	0.7041249410524563
7058	ywlF	0.7082167832167833
7033	pyrG	0.7107517482517482
7004	iscS	0.7107517482517482
6982	ileS	0.7108391608391609
6948	trxB	0.7111888111888113
7123	rplU	0.7121940559440559
7186	ileS	0.7134178321678322
6938	nusA	0.7141171328671329
7065	ftsL	0.7152972027972028
6931	dnaB	0.7156905594405594
6877	fabF	0.7166083916083916
7140	era	0.7178137651821862
6959	accD	0.7191870629370629
6949	coaBC	0.7197802197802198
7158	nrdF	0.7216783216783217
6844	yqhY	0.7225087412587413
6866	rnpA	0.7252747252747254
6925	murAA	0.7256105116184451
7015	dfrA	0.7272201665124884
7144	tsf	0.7274912587412588
6837	dfrA	0.7311446457137044
6988	rpsD	0.7318618881118881
6846	proS	0.7319930069930071
7262	tagF	0.7329462989840348
7074	alrA	0.734527972027972
6956	dfrA	0.7355701036552099
7254	accA	0.7366258741258741
6961	murAA	0.7370042627164877
7094	rplF	0.7403409090909091
7018	rplP	0.7418269230769231
6845	ydiP	0.7418269230769231
7261	asd	0.7432692307692308
7130	rpsM	0.7435222672064777
7115	tagA	0.7446678321678322
7207	glyQ	0.7450611888111888
7010	rplP	0.7462412587412587
7037	dnaG	0.7468094405594405
6873	glyS	0.7468968531468532
7266	gpsA	0.7499125874125874
7217	dfrA	0.7504859126929087
7231	tpiA	0.7517919580419581
6943	smc	0.7522727272727272
6881	rpsF	0.7525786713286714
7253	rpsB	0.7525786713286714
6947	dnaE	0.7531905594405593
7244	ppaC	0.7547639860139861
7137	dxs	0.7569055944055944
7256	rpsL	0.7579545454545454
7002	cmk	0.7586538461538461
7169	dnaD	0.7597541193545633
7099	trxB	0.7628933566433567
7112	rplS	0.7629807692307693
7216	infC	0.7630244755244755
7108	dfrA	0.7646417472525563
7199	cmk	0.7650786713286714
7201	ligA	0.7652097902097902
6978	rpsH	0.7660402097902098
6990	gltX	0.7675262237762238
7194	pgk	0.7686625874125874
7237	pheS	0.7687499999999999
6827	tagH	0.7690122377622377
7269	rplO	0.7696241258741259
6992	acpA	0.7726398601398601
6950	ydiC	0.7732517482517482
7210	rplR	0.7735576923076923
7193	gcp	0.7747252747252747
6855	ffh	0.7751748251748252
7000	secA	0.776486013986014
6966	serS	0.7769230769230769
7062	glmM	0.7781905594405595
6957	dfrA	0.7804737995506116
6921	rpoA	0.7844405594405595
6974	ddl	0.7844842657342658
7264	holA	0.7912087912087913
6883	glyQ	0.7932692307692308
6984	secE	0.7933566433566434
7026	lysS	0.7955856643356642
6882	nrdE	0.7961101398601398
6886	dfrA	0.7963309199515474
7273	dapA	0.7974213286713288
7057	pgsA	0.798208041958042
7134	yneF	0.7996066433566433
7133	panB	0.7997814685314686
7011	sigA	0.8003496503496503
6915	polC	0.8012237762237763
6889	fabZ	0.803277972027972
6892	rnc	0.8037606837606838
7162	yxxG	0.8038461538461539
7059	alrA	0.8040209790209789
7197	hisS	0.8041958041958043
7080	glnA	0.8063374125874125
7090	perR	0.8076923076923077
6895	tpiA	0.8096590909090909
7227	fmt	0.8117569930069929
7007	tmk	0.8118006993006993
6986	ffh	0.8132867132867132
7028	obg	0.814729020979021
7029	valS	0.8173076923076923
6847	fusA	0.8179632867132867
7161	panC	0.8200611888111888
7174	ppaC	0.8206293706293706
7257	ydiP	0.8208041958041957
7172	rpsP	0.8210664335664335
6979	dfrA	0.8221393103830895
6932	aspS	0.8237762237762237
7119	rpoB	0.8239510489510489
7260	hprT	0.8241695804195804
7248	tyrS	0.8256410256410256
7167	dfrA	0.8265102129508908
6930	rplS	0.8284527972027972
7200	plsY	0.8303321678321679
6885	mreD	0.8308566433566434
7148	dnaE	0.8335227272727272
6967	trpS	0.8343531468531468
6993	dnaD	0.8372814685314686
7126	infB	0.8387674825174825
7181	rpsJ	0.8403846153846154
6980	rpsF	0.8413024475524475
7100	rnc	0.8427125506072874
7173	parC	0.8440122377622378
7019	ysxC	0.8461538461538461
6929	plsC	0.8477272727272728
7255	rplM	0.8494755244755244
6942	glmS	0.8525786713286714
7247	plsY	0.8557692307692308
6896	ftsY	0.8608828671328672
6939	accB	0.8609702797202797
7152	rplE	0.8612325174825175
6933	plsX	0.8616258741258741
7233	ispF	0.8627185314685315
7073	pcrA	0.8664335664335665
7242	gatA	0.8681818181818182
6946	dnaN	0.8698426573426574
6968	dfrA	0.8702506773188344
6941	trmU	0.8722902097902098
7198	prsA	0.8736263736263737
7035	sigA	0.8761363636363637
6906	rpsS	0.8767045454545456
6952	gatC	0.889423076923077
7078	yumC	0.8973339160839161
7211	panB	0.8982954545454547
7095	tagO	0.8996066433566434
6953	tufA	0.9034090909090908
6830	yhdK	0.9051136363636364
7188	pcrA	0.9119318181818182
7042	rpoB	0.9158653846153846
7206	plsC	0.916520979020979
7132	yaaK	0.9186188811188812
